Risk ID,AI Risk,Risk Category,Description,Cause,Potential Impact,Affected Stakeholders,Likelihood (1-5),Impact (1-5),Inherent Risk,Existing Controls,Control Gap,Recommended Control,Control IDs,Control Owner,Residual Risk (target),KRI/KPI,Monitoring Frequency,Escalation Trigger,Review Date,NIST AI RMF Mapping,ISO 42001 Mapping,EU AI Act Relevance,Intake Reference
R-01,Discriminatory outcomes through proxy variables,Fairness and discrimination,Review Priority Model routes some groups of applicants to Enhanced Review or Recommend Decline more often than comparable applicants,Trained on past adjudicator decisions; features such as FSA and employer may act as proxies for protected characteristics; no direct demographic data to test with; thin-file and newcomer applicants underrepresented,Denial of credit to eligible applicants; human rights complaints; supervisory scrutiny; reputational harm,Applicants (newcomers; Indigenous; racialized; older; rural and lower-income); Northstar; regulators,4,5,20 (Critical),Enterprise model risk policy; existing credit decision review and complaints process; design intent to exclude age; name; language and marital status from model features,Feature exclusion not verified (OI-03); no agreed fairness metrics or thresholds (OI-07); no approved proxy-testing method; lawfulness of inferring protected attributes unconfirmed (OI-09),Verify feature exclusion and audit FSA and employer as proxies before build freeze; run pre-deployment fairness testing using geographic and name-based analysis plus synthetic matched pairs; monitor monthly after launch against committee-approved thresholds,CTL-01; CTL-02; CTL-03; CTL-04,Head of Credit Risk Analytics,L2 x I5 = 10 (High),Ratio of Enhanced Review and Recommend Decline rates between proxy-inferred groups and a reference group (0.80 screening ratio proposed; not a Canadian legal standard); matched-pair outcome gap,Monthly (weekly during pilot),Ratio below 0.80 in any month or below 0.90 for two consecutive months: notify AI Governance Committee within 5 business days and pause any rollout expansion,2026-06-30,MEASURE 2.11; MAP 2.3,Cl. 6.1.4 and 8.4 (AI system impact assessment); Annex A.7 (data for AI systems),Art. 10(2) (bias examination and mitigation); Art. 9; Annex III point 5(b) (creditworthiness). Benchmark only,Sections F; J; K; OI-03; OI-07; OI-09
R-02,Inaccurate review-path recommendations,Model performance,Score or recommended path is wrong so risky files receive Standard Review or sound files receive Recommend Decline,Labels reflect past decisions; declined applicants have no repayment outcome (reject inference); six-year training window may not match current conditions; outcomes lag 6 to 12 months so errors surface late,Credit losses; wrongful declines; inconsistent review depth; loss of adjudicator trust,Applicants; Northstar credit portfolio; adjudicators,3,4,12 (High),Enterprise model risk policy requires independent validation; adjudicators review every file,Beacon validation not yet performed; reject inference approach not documented; no agreed performance tolerances; no backtesting plan,Independent validation by Model Risk Management before pilot including out-of-time and segment testing; documented reject inference approach; agreed performance tolerances; quarterly backtesting as outcomes mature,CTL-04; CTL-05; CTL-12,Head of Credit Risk Analytics,L2 x I4 = 8 (Moderate),Gini (rank-ordering) versus validation baseline; loss rate of Standard Review path versus Enhanced Review path; performance by segment,Monthly (early indicators); quarterly (backtest),Gini falls more than 10 percent relative to baseline or a segment gap exceeds tolerance: notify Model Risk Management within 5 business days,2026-06-30,MEASURE 2.3; MEASURE 2.5; MAP 2.3,Cl. 8.2; Annex A.6 (AI system life cycle),Art. 15 (accuracy and robustness); Art. 9. Benchmark only,Sections F; M; OI-08
R-03,Automation bias and anchoring on the recommendation,Human factors,Adjudicators follow the recommended path without forming an independent view so Recommend Decline becomes the de facto decision,Time pressure (Beacon targets 20 percent faster handling); recommendation is visible before the adjudicator forms a view; scores appear authoritative; no training on model limitations,Wrongful declines at scale; loss of the human review that keeps Beacon assistive; tier rises to Critical if concordance exceeds 90 percent,Applicants; adjudicators; Northstar,4,4,16 (Critical),Adjudicators hold delegated lending authority and can override any recommendation,No rationale requirement; override tracking not built (OI-06); no training on model limits or automation bias; no concordance baseline,Written rationale required when following Recommend Decline; blind re-review of a random sample where the adjudicator decides before seeing the recommendation; concordance and override monitoring by adjudicator and team; training before pilot,CTL-06; CTL-07; CTL-08; CTL-09,Head of Credit Adjudication,L2 x I4 = 8 (Moderate),Concordance rate with Recommend Decline; override rate; median review time on Recommend Decline files versus baseline,Weekly in pilot; monthly after,Team concordance above 90 percent over a month or override rate below 3 percent: AI Governance Office review and tier reassessment (see methodology sensitivity table),2026-06-30,MAP 3.5; GOVERN 3.2,Annex A.9 (use of AI systems); Cl. 7.2 (competence),Art. 14(4)(b) (awareness of automation bias); Art. 26 (deployer oversight). Benchmark only,Sections E; H; OI-06
R-04,Human oversight exists in name only,Governance and oversight,Adjudicators lack the time; skills; authority or evidence trail to challenge Beacon so oversight cannot be demonstrated to auditors or supervisors,Override and rationale capture not built; training covers credit judgment but not model limits; review time shrinks after rollout; no defined rule for when override or escalation is mandatory,Failure of the primary safeguard; inability to evidence oversight; adverse audit or supervisory findings,Adjudicators; applicants; Internal Audit; regulators,3,4,12 (High),Delegated lending authority; logging of inputs; scores and adjudicator actions is designed into the Workbench,Override and rationale capture not built (OI-06); mandatory override and escalation rules undefined; no capacity monitoring; no fallback if logging fails,Build override and rationale capture before pilot; define mandatory override and escalation triggers in the Human Oversight Framework; monitor time per file and queue pressure; suspend the Recommend Decline display if logging is down for more than 24 hours,CTL-14; CTL-08; CTL-15,Director; Credit Analytics Engineering,L2 x I4 = 8 (Moderate),Percent of files with follow or override rationale captured (target 100 percent for Recommend Decline); median review time per file versus baseline; percent of adjudicators trained,Weekly in pilot; monthly after,Capture rate below 98 percent in a week or logging outage above 24 hours: suspend Recommend Decline display and notify AI Governance Office,2026-06-30,MAP 3.5; GOVERN 3.2,Annex A.9; Annex A.6 (operation and monitoring); Cl. 9.1,Art. 14 (human oversight); Art. 12 (record-keeping). Benchmark only,Sections E; H; L; OI-06
R-05,Inadequate explainability and adverse-action reasons,Transparency and explainability,Applicants or adjudicators cannot get a meaningful reason for a recommendation; LLM summaries may state things the source documents do not support,Reason codes not validated as faithful to the model; LLM summaries are not explainable; adverse-action reasons could be lifted from the Beacon score; applicants are not told AI is involved,Unfair or non-compliant adverse-action notices; inability to answer complaints or supervisor questions; loss of applicant trust,Applicants; adjudicators; complaints team; regulators,3,4,12 (High),Adverse-action reasons must come from the adjudicator's own assessment and may not cite the Beacon score alone; reason codes plus SHAP explanations for the Review Priority Model,Reason code faithfulness not validated; no source-citation standard for LLM summaries; applicant disclosure position unresolved (OI-01; OI-09),Validate reason codes during independent validation; require every LLM summary statement to link to a source document location and sample-audit citation accuracy; adverse-action standard citing adjudicator-assessed factors; Legal to conclude on applicant disclosure,CTL-10; CTL-11,Head of Credit Risk Analytics,L2 x I3 = 6 (Moderate),Percent of LLM summary statements with a valid source citation in sample audit (98 percent proposed); percent of adverse-action notices citing adjudicator-assessed factors; complaints citing unexplained decisions,Monthly,Citation validity below 98 percent in any monthly sample: disable LLM summarization using the feature flag pending review,2026-06-30,MEASURE 2.8; MEASURE 2.9; GenAI Profile risk: Confabulation,Annex A.8 (information for interested parties); Annex A.6 (documentation),Art. 13 (transparency to deployers); Art. 86 (explanation of individual decisions). Benchmark only,Sections E; G; K; OI-01; OI-09
R-06,Model drift and degradation over time,Model lifecycle,Applicant population; economic conditions or products change so scores lose accuracy or shift outcomes for some groups,Six-year training window; changing rates and employment conditions; product or channel changes; outcome lag delays performance evidence,Accuracy and fairness degrade unnoticed; credit losses; unplanned redevelopment,Applicants; Northstar; adjudicators,4,3,12 (High),Enterprise model change process with re-validation,Drift monitoring not built; no thresholds set; fairness not monitored separately from accuracy; retraining triggers untested,Monthly stability monitoring of score and top features; fairness indicators tracked on the same cadence; quarterly backtesting as outcomes mature; documented retraining triggers and re-validation,CTL-12; CTL-13; CTL-05,Head of Credit Risk Analytics,L3 x I3 = 9 (Moderate),Population Stability Index on score and top features (0.10 watch and 0.25 investigate are common industry conventions); fairness ratio trend,Monthly; quarterly backtest,PSI above 0.25 on the score or any top-10 feature for two consecutive months: open model review and notify Model Risk Management,2026-06-30,MEASURE 2.4; MANAGE 4.1,Cl. 9.1; Cl. 10 (improvement); Annex A.6,Art. 72 (post-market monitoring); Art. 9. Benchmark only,Sections F; M
R-07,Sensitive personal information exposed through the LLM vendor,Privacy and data protection,Pay stubs; bank statements and adjudicator notes sent to the vendor-hosted LLM are retained; accessed or disclosed beyond what Northstar intends,Vendor default 30-day retention for abuse monitoring; zero-retention addendum not agreed; sub-processors unknown; full documents sent when only some fields are needed; vendor training prohibition not yet verified,Privacy breach affecting applicants; breach notification and record-keeping duties; regulator and public scrutiny; loss of customer trust,Applicants; Privacy Office; Northstar; regulators (OPC and Quebec CAI),3,5,15 (Critical),Canadian-region dedicated tenancy; contract draft prohibits vendor training on Northstar data (not yet verified); logging of prompts and outputs with personal information controls,Zero-retention addendum not agreed (OI-04); sub-processor list not received (OI-05); no input minimization or redaction; vendor security assessment not started (OI-04),Zero-retention and no-training terms signed before pilot; send only the documents and fields needed and mask identifiers such as SIN and full account numbers before sending; obtain and approve the sub-processor list; vendor security assessment before pilot; scheduled scan of prompt logs for unmasked identifiers,CTL-16; CTL-17; CTL-19,Chief Privacy Officer,L2 x I4 = 8 (Moderate),Unmasked identifiers found in prompt log scans (target 0); vendor retention exceptions found in audit (target 0); percent of required vendor privacy terms executed (100 percent before pilot),Weekly log scan in pilot; monthly after; annual vendor audit,Any confirmed unmasked identifier sent to the vendor or retention beyond contract: open a privacy incident within 24 hours and Privacy Officer assesses breach reporting duties (PIPEDA real risk of significant harm test; Law 25 for Quebec residents; Legal to confirm),2026-06-30,MEASURE 2.10; MANAGE 3.1; GenAI Profile risk: Data Privacy,Annex A.7 (data for AI systems); Annex A.10 (third-party and customer relationships),Art. 10 (data governance); Art. 15. Benchmark only; PIPEDA and Law 25 are the binding privacy regimes,Sections F; G; L; N; OI-04; OI-05
R-08,Personal information used beyond its original consented purpose,Privacy and data protection,Historical application data; adjudicator notes and uploaded documents are reused for model training and LLM processing in ways applicants did not agree to or expect,Consent wording predates AI; training on six years of historical data; purpose limitation not assessed; retention periods assumed rather than confirmed,Non-compliance with PIPEDA consent and limiting-use principles; Law 25 exposure for Quebec residents; complaints to the OPC; forced retraining or data deletion,Applicants; Privacy Office; Legal; Northstar,3,4,12 (High),Consent collected at application; Privacy Office consulted at intake; Quebec applicants excluded from pilot,PIA not started (OI-02); consent and purpose limitation not confirmed (OI-01); retention period assumed at 7 years; no procedure for access requests or challenges that involve Beacon outputs,Complete the PIA before build freeze with a documented lawful basis for each data source; Legal decision on consent wording and applicant notice; confirm retention and deletion rules for scores; prompts and summaries; define how access requests and challenges involving Beacon outputs are handled,CTL-18; CTL-28; CTL-17,Chief Privacy Officer,L2 x I3 = 6 (Moderate),Percent of Beacon data elements with documented purpose and lawful basis (100 percent before pilot); open high-rated PIA findings (0 at approval gate); access requests involving Beacon answered within 30 days (100 percent),At each gate; then quarterly,High-rated PIA finding unresolved at an approval gate: gate held; any complaint alleging unconsented AI use: notify Chief Privacy Officer and Legal within 2 business days,2026-06-30,GOVERN 1.1; MEASURE 2.10; MAP 4.1,Cl. 4.2 (interested parties and legal requirements); Annex A.7,Art. 10(2) (data governance practices). Benchmark only,Sections F; I; OI-01; OI-02; OI-09
R-09,LLM vendor changes; fails or becomes hard to leave,Third-party and concentration,Meridian updates the model without notice; suffers an outage or breach; changes sub-processors; or Northstar cannot exit without losing the summarization capability,Vendor controls the model; change-notice; audit-rights and incident-notice terms still under negotiation (OI-04); same vendor shortlisted for another use case (OI-10); no exit test,Summaries change behaviour without validation; service disruption; delayed breach notice; costly forced migration,Adjudicators; applicants; Vendor Risk; Procurement; Northstar,3,4,12 (High),Model version pinned at contract (terms not final); LLM can be switched off independently by feature flag; enterprise third-party risk process,Change-notice; audit-rights and 24-hour incident notice not agreed (OI-04); concentration not assessed (OI-10); no regression test for vendor updates; fallback runbook not written,Executed contract with audit rights; 30-day model change notice and 24-hour incident notice before pilot; regression test on a fixed test set before accepting any vendor model update; annual vendor review including sub-processor changes; tested fallback runbook and 90-day exit plan,CTL-19; CTL-20; CTL-21,Head of Vendor Risk,L2 x I3 = 6 (Moderate),Unannounced vendor model changes detected by canary test set (target 0); vendor SLA breaches per quarter; percent of required contract controls executed (100 percent before pilot); fallback runbook tested in last 12 months (yes or no),Daily canary test; quarterly vendor review,Canary test results change without a vendor change notice: disable LLM summarization via feature flag and notify Vendor Risk and Model Risk Management the same day,2026-06-30,GOVERN 6.1; MANAGE 3.1; MAP 4.1,Annex A.10 (third-party and customer relationships); Cl. 8.1 (operational control),Art. 25 (responsibilities along the AI value chain); Art. 26. Benchmark only,Sections G; N; OI-04; OI-05; OI-10
R-10,Prompt injection and manipulated output through uploaded documents,Information security (LLM),An applicant or third party hides instructions in a pay stub or bank statement so the summary omits inconsistencies; overstates income or misleads the adjudicator,The LLM reads untrusted document content as input; summaries influence adjudicator judgement; output is displayed in the Workbench,Fraudulent applications look clean; loss of confidence in summaries; credit losses; injected content shown in the Workbench,Adjudicators; Northstar; Fraud team; applicants,3,4,12 (High),LLM has no tool calling; no write access and no retrieval beyond the single application; output shown to adjudicators only,No document sanitization or injection detection; no adversarial testing; no cross-check of LLM figures against structured data; output rendering not reviewed,Treat all document content as untrusted; strip hidden text and non-visible layers before summarization; render output as plain text only; cross-check key figures (income and balances) against structured data and flag mismatches; red team testing before pilot and annually; keep tools and write access disabled,CTL-22; CTL-23,Chief Information Security Officer,L2 x I3 = 6 (Moderate),Injection attempts detected per month; open high-rated red team findings (0 at approval gate); percent of summaries where key figures disagree with structured data,Monthly; red team annually and after major changes,Any confirmed successful injection that changed a summary: disable LLM summarization via feature flag and open a security incident the same day,2026-06-30,MEASURE 2.7; MANAGE 4.1; GenAI Profile risk: Information Security,Annex A.6 (verification and validation); Annex A.9,Art. 15(5) (resilience against manipulation of inputs and outputs). Benchmark only. OWASP LLM01 (Prompt Injection) and LLM05 (Improper Output Handling); verify numbering against the current OWASP list,Sections G; L
